tmdbID,imdbID,Title,Year
19544,undefined,Afro Samurai,2007
44606,undefined,Beauty and the Beast,2012
57273,undefined,The Red Road,2014
958,undefined,Beast Wars: Transformers,1996
15030,undefined,Secrets of the Dead,2000
70027,undefined,The Greeks: Crucible of Civilization,2000
243,undefined,Penn & Teller: Bull!,2003
2879,undefined,History's Mysteries,1998
16115,undefined,Is It Real?,2006
62264,undefined,Ash vs Evil Dead,2015
4613,undefined,Band of Brothers,2001
60059,undefined,Better Call Saul,2015
95,undefined,Buffy the Vampire Slayer,1997
63647,undefined,Childhood's End,2015
118546,undefined,Clone High,2023
77169,undefined,Cobra Kai,2018
11240,undefined,Delta State,2004
4956,undefined,Dilbert,1999
1434,undefined,Family Guy,1999
4455,undefined,Get Smart,1965
4615,undefined,Hercules: The Legendary Journeys,1995
19614,undefined,It,1990
62413,undefined,Killjoys,2015
4607,undefined,Lost,2004
11235,undefined,Medabots,2001
578,undefined,Numb3rs,2005
27912,undefined,Off to War - From Rural Arkansas to Iraq,2004
11183,undefined,Poltergeist: The Legacy,1996
33841,undefined,R. L. Stine's The Haunting Hour,2010
54288,undefined,Science of the Bible,
1649,undefined,Sliders,1995
4604,undefined,Smallville,2001
1622,undefined,Supernatural,2005
32871,undefined,Supernatural: The Anime Series,2011
15632,undefined,The Cleveland Show,2009
100088,undefined,The Last of Us,2023
2316,undefined,The Office,2005
815,undefined,Peep Show,2003
101251,undefined,The Road to Red Restaurant List,2020
1398,undefined,The Sopranos,1999
47640,undefined,The Strain,2014
16399,undefined,The Twilight Zone,2002
1402,undefined,The Walking Dead,2010
1438,undefined,The Wire,2002
31098,undefined,Beast Wars II: Super Lifeform Transformers,1998
46648,undefined,True Detective,2014
63247,undefined,Westworld,2016
76098,tt1999811,'Weird Al' Yankovic - Live! The Alpocalypse Tour,2011
19913,tt1022603,(500) Days of Summer,2009
9282,tt0331811,11:14,2003
3021,tt0450385,1408,2007
16996,tt0974661,17 Again,2009
64688,tt1232829,21 Jump Street,2012
187017,tt2294449,22 Jump Street,2014
170,tt0289043,28 Days Later,2002
4513,tt0389722,30 Days of Night,2007
42941,tt1320304,30 Days of Night: Dark Days,2010
1271,tt0416449,300,2007
12138,tt0233142,3000 Miles to Graceland,2001
53182,tt1253863,300: Rise of an Empire,2014
5176,tt0381849,3:10 to Yuma,2007
64686,tt1335975,47 Ronin,2013
8224,tt0134273,8MM,1999
174316,tt1817081,A Case of You,2013
17979,tt1067106,A Christmas Carol,2009
9726,tt0401445,A Good Year,2006
31696,tt0102220,A Kiss Before Dying,1991
377,tt0087800,A Nightmare on Elm Street,1984
10072,tt0093629,A Nightmare on Elm Street 3: Dream Warriors,1987
10131,tt0095742,A Nightmare on Elm Street 4: The Dream Master,1988
10160,tt0097981,A Nightmare on Elm Street: The Dream Child,1989
10014,tt0089686,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985
12403,tt0971209,A Perfect Getaway,2009
3509,tt0405296,A Scanner Darkly,2006
10223,tt0120324,A Simple Plan,1998
10229,tt0281358,A Walk to Remember,2002
1111873,tt27489557,Abigail,2024
122906,tt2194499,About Time,2013
421473,tt5688068,Above Suspicion,2019
72331,tt1611224,Abraham Lincoln: Vampire Hunter,2012
4688,tt0445922,Across the Universe,2007
419704,tt2935510,Ad Astra,2019
2757,tt0268126,Adaptation.,2002
2058,tt0118556,Addicted to Love,1997
16614,tt1091722,Adventureland,2009
964980,tt16419074,Air,2023
813,tt0080339,Airplane!,1980
94348,tt1712170,Alex Cross,2012
12155,tt1014759,Alice in Wonderland,2010
348,tt0078748,Alien,1979
82374,tt0238829,Alien Adventure,1999
8078,tt0118583,Alien Resurrection,1997
8077,tt0103644,Alien³,1992
679,tt0090605,Aliens,1986
440,tt0758730,Aliens vs Predator: Requiem,2007
399579,tt0437086,Alita: Battle Angel,2019
152747,tt2017038,All Is Lost,2013
786,tt0181875,Almost Famous,2000
222936,tt1243974,Aloha,2015
12142,tt0369226,Alone in the Dark,2005
6477,tt0952640,Alvin and the Chipmunks,2007
23398,tt1231580,Alvin and the Chipmunks: The Squeakquel,2009
73,tt0120586,American History X,1998
14242,tt0181288,American Movie,1999
2105,tt0163651,American Pie,1999
2770,tt0252866,American Pie 2,2001
71552,tt1605630,American Reunion,2012
451751,tt5451690,American Satan,2017
8273,tt0328828,American Wedding,2003
814,tt0082010,An American Werewolf in London,1981
9406,tt0118604,An American Werewolf in Paris,1997
14863,tt1137996,Anaconda 3: Offspring,2008
11237,tt0366174,Anacondas: The Hunt for the Blood Orchid,2004
19543,tt1150934,Anacondas: Trail of Blood,2009
37219,tt1154152,Andrea Bocelli - Vivere Live in Tuscany,2007
362111,tt0184215,Angels and Demons,1969
44629,tt1313092,Animal Kingdom,2010
13275,tt0417433,Annapolis,2006
300668,tt2798920,Annihilation,2018
102899,tt0478970,Ant-Man,2015
640146,tt10954600,Ant-Man and the Wasp: Quantumania,2023
9989,tt0218817,Antitrust,2001
9563,tt0146838,Any Given Sunday,1999
658397,tt6032704,Apparition,2019
9445,tt0118636,Apt Pupil,1998
297802,tt1477834,Aquaman,2018
224681,tt0378846,Are You Afraid of the Dark?,1996
1073,tt0137363,Arlington Road,1999
1139952,null,Arrow,2012
51052,tt1430607,Arthur Christmas,2011
256274,tt2870612,As Above, So Below,2014
121856,tt2094766,Assassin's Creed,2016
19995,tt0499549,Avatar,2009
99861,tt2395427,Avengers: Age of Ultron,2015
16161,tt0255819,Baby Boy,2001
9381,tt0364970,Babylon A.D.,2008
2924,tt0101393,Backdraft,1991
272,tt0372784,Batman Begins,2005
414,tt0112462,Batman Forever,1995
209112,tt2975590,Batman v Superman: Dawn of Justice,2016
3176,tt0266308,Battle Royale,2000
44943,tt1217613,Battle: Los Angeles,2011
760741,tt13223398,Beast,2022
321612,tt2771200,Beauty and the Beast,2017
397837,tt1691916,Before I Fall,2017
647302,tt3917506,Benny Loves You,2019
2310,tt0442933,Beowulf,2007
24046,tt0101435,Bernard and the Genie,1991
14290,tt0280477,Better Luck Tomorrow,2002
587,tt0319061,Big Fish,2003
1123885,tt20122398,Billy,2023
495764,tt7713068,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020
436270,tt6443346,Black Adam,2022
855,tt0265086,Black Hawk Down,2001
543,tt0019702,Blackmail,1929
36647,tt0120611,Blade,1998
36586,tt0187738,Blade II,2002
335984,tt1856101,Blade Runner 2049,2017
472226,tt7208564,Blood Fest,2018
338762,tt1634106,Bloodshot,2020
178,tt0109303,Blown Away,1994
565770,tt9362930,Blue Beetle,2023
8968,tt0357507,Boogeyman,2005
365177,tt4978420,Borderlands,2024
13996,tt0914797,Bottle Shock,2008
9382,tt0112571,Boys on the Side,1995
14237,tt0109327,Brainscan,1994
197,tt0112573,Braveheart,1995
9270,tt0393109,Brick,2006
254473,tt1430612,Brick Mansions,2014
29963,tt0810784,Bright Star,2009
531309,tt7752126,Brightburn,2019
1588,tt0204946,Bring It On,2000
98357,tt1235522,Broken City,2013
18480,tt0889583,Brüno,2009
10206,tt0103893,Buffy the Vampire Slayer,1992
424783,tt4701182,Bumblebee,2018
4944,tt0887883,Burn After Reading,2008
26391,tt0109361,Cabin Boy,1994
11977,tt0080487,Caddyshack,1980
111459,tt0038392,California,1947
271110,tt3498820,Captain America: Civil War,2016
1771,tt0458339,Captain America: The First Avenger,2011
100402,tt1843866,Captain America: The Winter Soldier,2014
299537,tt4154664,Captain Marvel,2019
9681,tt0402894,Casanova,2005
12225,tt0460740,Cashback,2007
36557,tt0381061,Casino Royale,2006
4787,tt0795493,Cassandra's Dream,2007
8358,tt0162222,Cast Away,2000
1537,tt0264472,Changing Lanes,2002
8319,tt0488988,Chapter 27,2007
212778,tt2883512,Chef,2014
93856,tt1991245,Chernobyl Diaries,2012
417644,tt0493405,CHiPS,2017
407518,tt4082524,Chosen,2016
420814,tt4575576,Christopher Robin,2018
15549,tt0312571,Cirque du Soleil: Alegria,2001
1406,tt0101587,City Slickers,1991
11310,tt0109439,City Slickers II: The Legend of Curly's Gold,1994
13600,tt0970411,City of Ember,2008
428501,tt6333056,City of Ghosts,2017
18823,tt0800320,Clash of the Titans,2010
2292,tt0109445,Clerks,1994
2295,tt0424345,Clerks II,2006
83542,tt1371111,Cloud Atlas,2012
39213,tt1334521,Coach,2010
7214,tt0393162,Coach Carter,2005
7520,tt0094889,Cocktail,1988
354912,tt2380307,Coco,2017
220289,tt2866360,Coherence,2013
1538,tt0369339,Collateral,2004
276908,tt2965412,Comet,2014
37430,tt0816462,Conan the Barbarian,2011
561,tt0360486,Constantine,2005
39538,tt1598778,Contagion,2011
14836,tt0327597,Coraline,2009
101173,tt1372686,Coriolanus,2011
3933,tt0121164,Corpse Bride,2005
669735,tt6395680,Covenant,2018
49849,tt0409847,Cowboys & Aliens,2011
6282,tt0200550,Coyote Ugly,2000
511987,tt8364368,Crawl,2019
25196,tt1263670,Crazy Heart,2009
312221,tt3076658,Creed,2015
480530,tt6343314,Creed II,2018
201085,tt2554274,Crimson Peak,2015
146,tt0190332,Crouching Tiger, Hidden Dragon,2000
12706,tt0159382,Croupier,1998
62720,tt0039288,Cry Wolf,1947
431,tt0123755,Cube,1997
437,tt0285492,Cube 2: Hypercube,2002
438,tt0377713,Cube Zero,2004
10012,tt0257516,Cursed,2005
347754,tt3212904,Curve,2015
27306,tt0270841,Cyber Wars,2004
1313571,null,Dance with Julianne Just Dance,
18887,tt0052722,Darby O'Gill and the Little People,1959
9480,tt0287978,Daredevil,2003
2666,tt0118929,Dark City,1998
9556,tt0099365,Darkman,1990
19002,tt0116033,Darkman III: Die Darkman Die,1996
10727,tt0282209,Darkness Falls,2003
924,tt0363547,Dawn of the Dead,2004
11443,tt0112819,Dead Presidents,1995
14001,tt0455760,Dead Silence,2007
55215,tt1711366,Dead Space: Aftermath,2011
13190,tt1267379,Dead Space: Downfall,2008
618433,tt6716912,Dead Water,2020
383498,tt5463162,Deadpool 2,2018
11835,tt0804461,Death Sentence,2007
395990,tt1137450,Death Wish,2018
299939,tt2769184,Debug,2014
18442,tt0357585,Decoys,2004
18443,tt0400347,Decoys 2: Alien Seduction,2007
8656,tt0120647,Deep Impact,1998
7551,tt0453467,Déjà Vu,2006
184346,tt2377322,Deliver Us from Evil,2014
9739,tt0106697,Demolition Man,1993
774021,tt13392012,Demonic,2021
449443,tt1259528,Den of Thieves,2018
108993,tt0990363,Detention,2010
44040,tt1314655,Devil,2010
13025,tt0848557,Diary of the Dead,2007
36669,tt0246460,Die Another Day,2002
562,tt0095016,Die Hard,1988
1573,tt0099423,Die Hard 2,1990
10567,tt0130623,Dinosaur,2000
